fila_bronze,columna_afectada,codigo_error,valor_original,version_diagnostico,regla_id,estado_accion,valor_preparado,justificacion,version_tratamiento
10,chofer_id,FORMATO_INVALIDO, cho-010 ,GIAD-M3-S4-HR-drivers-diagnostico-v1,,PENDIENTE, cho-010 ,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-HR-drivers-tratamiento-v1
72,chofer_id,FORMATO_INVALIDO, cho-072 ,GIAD-M3-S4-HR-drivers-diagnostico-v1,,PENDIENTE, cho-072 ,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-HR-drivers-tratamiento-v1
82,chofer_id,FORMATO_INVALIDO, cho-082 ,GIAD-M3-S4-HR-drivers-diagnostico-v1,,PENDIENTE, cho-082 ,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-HR-drivers-tratamiento-v1
92,chofer_id,FORMATO_INVALIDO, cho-092 ,GIAD-M3-S4-HR-drivers-diagnostico-v1,,PENDIENTE, cho-092 ,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-HR-drivers-tratamiento-v1
120,chofer_id,FORMATO_INVALIDO, cho-120 ,GIAD-M3-S4-HR-drivers-diagnostico-v1,,PENDIENTE, cho-120 ,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-HR-drivers-tratamiento-v1
152,chofer_id,DUPLICADO,CHO-003,GIAD-M3-S4-HR-drivers-diagnostico-v1,DUPLICADO_IDENTICO,EXCLUIDO_COMO_COPIA,CHO-003,Copia exacta retenida para auditoría y excluida del conjunto utilizable,GIAD-M3-S4-HR-drivers-tratamiento-v1
153,chofer_id,DUPLICADO,CHO-056,GIAD-M3-S4-HR-drivers-diagnostico-v1,DUPLICADO_IDENTICO,EXCLUIDO_COMO_COPIA,CHO-056,Copia exacta retenida para auditoría y excluida del conjunto utilizable,GIAD-M3-S4-HR-drivers-tratamiento-v1
154,chofer_id,DUPLICADO,CHO-119,GIAD-M3-S4-HR-drivers-diagnostico-v1,,PENDIENTE,CHO-119,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-HR-drivers-tratamiento-v1
155,chofer_id,DUPLICADO,CHO-141,GIAD-M3-S4-HR-drivers-diagnostico-v1,DUPLICADO_IDENTICO,EXCLUIDO_COMO_COPIA,CHO-141,Copia exacta retenida para auditoría y excluida del conjunto utilizable,GIAD-M3-S4-HR-drivers-tratamiento-v1
156,chofer_id,DUPLICADO,CHO-126,GIAD-M3-S4-HR-drivers-diagnostico-v1,DUPLICADO_IDENTICO,EXCLUIDO_COMO_COPIA,CHO-126,Copia exacta retenida para auditoría y excluida del conjunto utilizable,GIAD-M3-S4-HR-drivers-tratamiento-v1
