chofer_id,centro_distribucion,horas_conduccion_mes,salario_base_bob,ausentismo_dias
CHO-001,La Paz,120.6,5901.26,0
CHO-002,La Paz,136.4,3931.46,1
CHO-003,Oruro,121.4,6269.76,1
CHO-004,Santa Cruz,195.5,4940.3,3
CHO-005,La Paz,164.8,6144.78,0
CHO-006,Cochabamba,193.3,5719.85,0
CHO-007,La Paz,168.6,5215.46,0
CHO-008,Tarija,207.0,4772.64,1
CHO-009,Tarija,168.6,5528.74,0
CHO-011,Santa Cruz,143.3,5098.29,1
CHO-012,Tarija,176.3,6492.63,1
CHO-013,Santa Cruz,199.6,4947.25,2
CHO-014,Cochabamba,167.7,5292.01,0
CHO-015,Tarija,113.2,6383.52,0
CHO-016,Cochabamba,175.4,6382.79,0
CHO-017,La Paz,178.1,5978.01,1
CHO-018,Santa Cruz,213.4,4574.24,1
CHO-019,Cochabamba,183.9,3830.85,0
CHO-020,Santa Cruz,126.4,4414.87,0
CHO-021,La Paz,142.5,6339.53,0
CHO-022,Oruro,147.7,4412.02,0
CHO-023,La Paz,115.1,5335.1,0
CHO-024,Santa Cruz,224.6,5820.17,0
CHO-025,Santa Cruz,186.9,3550.96,0
CHO-026,Tarija,172.7,5030.36,0
CHO-027,La Paz,176.7,6175.23,0
CHO-028,Santa Cruz,185.2,4872.36,0
CHO-029,Santa Cruz,165.3,5945.58,0
CHO-030,Santa Cruz,130.2,4224.31,0
CHO-031,Tarija,147.5,6293.98,0
CHO-032,Oruro,147.8,4897.2,2
CHO-033,Cochabamba,181.5,4714.35,2
CHO-034,Santa Cruz,145.2,6117.77,0
CHO-035,Santa Cruz,127.2,4362.12,1
CHO-036,Tarija,188.1,3807.23,0
CHO-037,Santa Cruz,124.4,4222.82,2
CHO-038,Oruro,121.7,5600.13,0
CHO-039,La Paz,117.4,4668.82,0
CHO-040,La Paz,177.2,6311.86,0
CHO-041,Cochabamba,162.9,3709.37,2
CHO-042,La Paz,157.7,6005.77,0
CHO-043,Tarija,185.6,4226.79,0
CHO-044,Tarija,139.1,4119.04,0
CHO-045,Tarija,180.6,5000.58,0
CHO-046,Santa Cruz,158.5,5030.67,0
CHO-047,Cochabamba,166.9,4363.29,0
CHO-048,Tarija,172.8,4828.72,1
CHO-049,La Paz,136.4,5598.37,5
CHO-050,Tarija,170.0,4887.8,1
CHO-051,Oruro,164.9,4046.38,0
CHO-052,La Paz,145.2,3723.55,0
CHO-053,Santa Cruz,206.2,5035.03,0
CHO-054,Cochabamba,140.8,4602.4,0
CHO-055,Cochabamba,172.8,5820.32,0
CHO-056,Tarija,174.3,3892.49,0
CHO-057,La Paz,138.8,6470.81,5
CHO-058,Cochabamba,181.8,6050.16,0
CHO-059,Santa Cruz,185.8,4299.98,0
CHO-060,Santa Cruz,160.3,6311.12,0
CHO-061,Tarija,149.4,3994.53,0
CHO-062,Santa Cruz,152.1,6288.08,0
CHO-063,La Paz,140.6,4603.13,1
CHO-064,La Paz,144.2,5185.63,0
CHO-065,Cochabamba,108.8,3907.68,0
CHO-066,La Paz,118.1,5362.53,0
CHO-067,Oruro,169.4,4797.93,1
CHO-068,Cochabamba,121.9,4032.82,1
CHO-069,Cochabamba,161.5,6104.24,0
CHO-070,Santa Cruz,104.5,5200.86,0
CHO-071,La Paz,158.0,4095.89,0
CHO-073,Cochabamba,160.2,5741.63,2
CHO-074,Santa Cruz,133.1,3695.82,0
CHO-075,Santa Cruz,162.0,3880.53,0
CHO-076,Santa Cruz,168.5,6053.35,0
CHO-077,Cochabamba,141.8,3715.61,0
CHO-078,Santa Cruz,122.6,5023.39,0
CHO-079,Santa Cruz,138.5,4018.9,1
CHO-080,Santa Cruz,162.2,4714.74,0
CHO-081,Santa Cruz,186.2,4026.8,3
CHO-083,La Paz,210.7,4131.63,1
CHO-084,La Paz,77.3,6480.49,0
CHO-085,Santa Cruz,190.8,4398.66,0
CHO-086,Cochabamba,193.2,6482.07,0
CHO-087,Cochabamba,169.8,5533.73,0
CHO-088,Tarija,133.3,6212.39,0
CHO-089,Cochabamba,140.6,3508.43,0
CHO-090,Cochabamba,180.7,5744.06,2
CHO-091,La Paz,188.7,3913.91,0
CHO-093,La Paz,186.7,5985.05,0
CHO-094,Cochabamba,174.0,4656.03,0
CHO-095,Santa Cruz,131.9,4611.98,5
CHO-096,Santa Cruz,180.3,4205.17,1
CHO-097,Santa Cruz,137.2,3802.72,2
CHO-098,Oruro,96.3,4175.34,1
CHO-099,Santa Cruz,152.2,4190.52,0
CHO-100,Santa Cruz,144.0,6363.19,0
CHO-101,Santa Cruz,168.5,4673.62,0
CHO-102,La Paz,180.7,3966.36,0
CHO-103,Santa Cruz,187.7,4970.5,1
CHO-104,Santa Cruz,201.6,3932.18,0
CHO-105,Tarija,208.2,5168.07,0
CHO-106,Santa Cruz,208.2,5532.91,1
CHO-107,La Paz,166.5,5946.13,0
CHO-108,Cochabamba,161.2,4733.33,0
CHO-109,Santa Cruz,167.6,3752.74,0
CHO-110,Oruro,140.1,6134.6,0
CHO-111,Cochabamba,198.2,3510.34,0
CHO-112,Cochabamba,192.0,5465.25,0
CHO-113,Santa Cruz,184.6,4934.53,2
CHO-114,Santa Cruz,119.4,6319.64,3
CHO-115,Cochabamba,161.8,5835.05,0
CHO-116,Cochabamba,172.7,6086.98,0
CHO-117,Oruro,136.4,6483.66,1
CHO-118,Oruro,129.6,4413.19,2
CHO-119,Oruro,179.0,5410.5,0
CHO-121,Santa Cruz,155.8,6112.94,0
CHO-122,Tarija,140.5,5280.62,0
CHO-123,Santa Cruz,108.5,4159.81,0
CHO-124,Cochabamba,132.6,3943.6,0
CHO-125,Cochabamba,156.5,4914.15,0
CHO-126,La Paz,151.3,5166.52,0
CHO-127,La Paz,150.3,3640.47,1
CHO-128,Santa Cruz,134.9,4457.87,0
CHO-129,Santa Cruz,155.6,6402.94,0
CHO-130,Cochabamba,131.0,4957.54,0
CHO-131,Cochabamba,108.3,3879.72,2
CHO-132,Tarija,119.4,4395.74,0
CHO-133,Santa Cruz,178.7,4817.83,0
CHO-134,La Paz,182.5,5792.79,0
CHO-135,Cochabamba,213.0,6069.29,0
CHO-136,Oruro,158.9,6048.86,1
CHO-137,La Paz,140.8,3881.24,1
CHO-138,Cochabamba,148.3,3601.0,0
CHO-139,La Paz,188.8,5035.11,0
CHO-140,Cochabamba,165.5,5144.04,0
CHO-141,Santa Cruz,103.3,4512.52,1
CHO-142,Santa Cruz,127.3,4352.91,1
CHO-143,Cochabamba,149.5,6153.1,0
CHO-144,Oruro,161.5,6445.08,0
CHO-145,Cochabamba,200.1,5894.13,0
CHO-146,Tarija,212.4,4280.56,1
CHO-147,Cochabamba,213.2,4504.13,0
CHO-148,La Paz,136.4,3786.97,0
CHO-149,Santa Cruz,164.6,6186.61,0
CHO-150,Oruro,172.8,5947.45,0
CHO-151,Cochabamba,133.4,5539.77,0
