fila_bronze,order_id,cliente_id,producto_id,fecha_despacho,centro_distribucion,camion_id,chofer_id,cantidad_solicitada,cantidad_entregada,tiempo_entrega_prometido_hrs,tiempo_entrega_real_hrs,otif_on_time,otif_in_full,otif,columnas_con_problemas,en_cuarentena
112, ord-2026-00112 ,CLI-087,PROD-008,2026-08-28 11:29:00,La Paz,CAM-09,CHO-007,63,63.0,24,18.0,1,1,1,order_id,True
137, ord-2026-00137 ,CLI-005,PROD-031,2026-08-08 03:07:00,Tarija,CAM-03,CHO-012,306,306.0,24,19.9,1,1,1,order_id,True
282,ORD-2026-00282,CLI-040,PROD-008,2026-08-04 07:14:00,La Paz,CAM-28,CHO-148,285,,48,38.8,1,1,1,cantidad_entregada,True
288,ORD-2026-00288, cli-014 ,PROD-033,2026-08-09 20:02:00,Santa Cruz,CAM-04,CHO-059,71,71.0,24,23.3,1,1,1,cliente_id,True
328,ORD-2026-00328,CLI-066,PROD-015,2026-08-15 21:43:00,Tarija,CAM-26,CHO-122,88,,48,45.4,1,1,1,cantidad_entregada,True
382,ORD-2026-00382,CLI-074,PROD-045,2026-08-29 05:40:00,Oruro,CAM-16,CHO-118,92,,24,19.3,1,1,1,cantidad_entregada,True
417,ORD-2026-00417,CLI-038,PROD-045,2026-08-02 18:54:00,Santa Cruz,CAM-20,CHO-121,198,198.0,48,-38.7,1,1,1,tiempo_entrega_real_hrs,True
453, ord-2026-00453 ,CLI-087,PROD-050,2026-08-03 02:47:00,Tarija,CAM-03,CHO-031,490,490.0,72,55.1,1,1,1,order_id,True
464,ORD-2026-00464,CLI-016,PROD-043,2026-08-12 01:19:00,Cochabamba,CAM-23,CHO-111,176,,72,47.1,1,1,1,cantidad_entregada,True
484, ord-2026-00484 ,CLI-097,PROD-054,2026-08-01 11:54:00,Tarija,CAM-12,CHO-061,60,60.0,24,13.7,1,1,1,order_id,True
489,ORD-2026-00489,CLI-003,PROD-025,2026-08-30 22:15:00,La Paz,CAM-27,CHO-072,338,,48,30.9,1,1,1,cantidad_entregada,True
498,ORD-2026-00498,CLI-017,PROD-039,2026-08-03 11:45:00,Cochabamba,CAM-01,CHO-140,362,,48,42.2,1,1,1,cantidad_entregada,True
512,ORD-2026-00512,CLI-026,PROD-001,2026-08-30 15:47:00,Tarija,CAM-12,CHO-048,cincuenta,72.0,24,17.2,1,1,1,cantidad_solicitada,True
513,ORD-2026-00513,CLI-002,PROD-027,2026-08-28 14:59:00,La Paz,CAM-09,CHO-057,264,,48,34.7,1,1,1,cantidad_entregada,True
540,ORD-2026-00540,CLI-094,PROD-022,20/08/2026 03:07,Santa Cruz,CAM-20,CHO-095,314,314.0,72,88.2,0,1,0,fecha_despacho,True
546, ord-2026-00546 ,CLI-003,PROD-019,2026-08-06 12:50:00,Tarija,CAM-03,CHO-082,55,55.0,48,40.5,1,1,1,order_id,True
631,ORD-2026-00631,CLI-077, prod-030 ,2026-08-19 16:36:00,Cochabamba,CAM-08,CHO-073,415,415.0,72,62.8,1,1,1,producto_id,True
709,ORD-2026-00709,CLI-026,PROD-020,2026-08-18 11:29:00,Cochabamba,CAM-23,CHO-086,cincuenta,22.0,24,21.2,1,1,1,cantidad_solicitada,True
714,ORD-2026-00714,CLI-051,PROD-042,2026-08-18 00:41:00,Cochabamba,CAM-17,CHO-065,85,,24,24.4,0,1,0,cantidad_entregada,True
735,ORD-2026-00735,CLI-026,PROD-058,2026-08-12 05:33:00,La Paz,CAM-09,CHO-064,81,,72,74.6,0,1,0,cantidad_entregada,True
787,ORD-2026-00787,CLI-021,PROD-013,03/08/2026 03:31,Santa Cruz,CAM-14,CHO-011,162,162.0,24,22.1,1,1,1,fecha_despacho,True
790,ORD-2026-00790, cli-009 ,PROD-053,2026-08-20 23:14:00,Tarija,CAM-03,CHO-010,351,351.0,48,35.7,1,1,1,cliente_id,True
813,ORD-2026-00813,CLI-002, prod-060 ,2026-08-07 14:09:00,Cochabamba,CAM-22,CHO-135,18,18.0,48,-50.4,0,1,0,producto_id|tiempo_entrega_real_hrs,True
815,ORD-2026-00815,CLI-092,PROD-024,2026-08-24 08:10:00,Oruro,CAM-07,CHO-144,183,,48,36.7,1,1,1,cantidad_entregada,True
883,ORD-2026-00883,CLI-062,PROD-041,2026-08-09 22:23:00,Cochabamba,CAM-23,CHO-138,468,,72,52.6,1,1,1,cantidad_entregada,True
901,ORD-2026-00901,CLI-063,PROD-057,2026-08-23 13:35:00,Santa Cruz,CAM-04,CHO-060,447,,48,42.0,1,1,1,cantidad_entregada,True
936,ORD-2026-00936,CLI-018,PROD-053,2026-08-06 02:52:00,Oruro,CAM-02,CHO-110,57,,72,66.7,1,1,1,cantidad_entregada,True
