fila_bronze,columna_afectada,codigo_error,valor_original,version_diagnostico,regla_id,estado_accion,valor_preparado,justificacion,version_tratamiento
112,order_id,FORMATO_INVALIDO, ord-2026-00112 ,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE, ord-2026-00112 ,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
137,order_id,FORMATO_INVALIDO, ord-2026-00137 ,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE, ord-2026-00137 ,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
282,cantidad_entregada,FALTANTE,,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE,,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
288,cliente_id,FORMATO_INVALIDO, cli-014 ,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE, cli-014 ,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
328,cantidad_entregada,FALTANTE,,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE,,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
382,cantidad_entregada,FALTANTE,,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE,,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
417,tiempo_entrega_real_hrs,NEGATIVO,-38.7,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE,-38.7,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
453,order_id,FORMATO_INVALIDO, ord-2026-00453 ,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE, ord-2026-00453 ,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
464,cantidad_entregada,FALTANTE,,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE,,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
484,order_id,FORMATO_INVALIDO, ord-2026-00484 ,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE, ord-2026-00484 ,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
489,cantidad_entregada,FALTANTE,,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE,,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
498,cantidad_entregada,FALTANTE,,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE,,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
512,cantidad_solicitada,NO_NUMERICA,cincuenta,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE,cincuenta,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
513,cantidad_entregada,FALTANTE,,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE,,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
540,fecha_despacho,FECHA_INVALIDA,20/08/2026 03:07,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE,20/08/2026 03:07,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
546,order_id,FORMATO_INVALIDO, ord-2026-00546 ,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE, ord-2026-00546 ,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
631,producto_id,FORMATO_INVALIDO, prod-030 ,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE, prod-030 ,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
709,cantidad_solicitada,NO_NUMERICA,cincuenta,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE,cincuenta,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
714,cantidad_entregada,FALTANTE,,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE,,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
735,cantidad_entregada,FALTANTE,,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE,,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
787,fecha_despacho,FECHA_INVALIDA,03/08/2026 03:31,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE,03/08/2026 03:31,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
790,cliente_id,FORMATO_INVALIDO, cli-009 ,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE, cli-009 ,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
813,producto_id,FORMATO_INVALIDO, prod-060 ,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE, prod-060 ,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
813,tiempo_entrega_real_hrs,NEGATIVO,-50.4,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE,-50.4,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
815,cantidad_entregada,FALTANTE,,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE,,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
883,cantidad_entregada,FALTANTE,,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE,,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
901,cantidad_entregada,FALTANTE,,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE,,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
936,cantidad_entregada,FALTANTE,,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE,,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
944,cantidad_entregada,FALTANTE,,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE,,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
1045,cantidad_entregada,FALTANTE,,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE,,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
1060,cantidad_solicitada,NO_NUMERICA,cincuenta,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE,cincuenta,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
1086,cantidad_entregada,FALTANTE,,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE,,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
1131,cantidad_entregada,FALTANTE,,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE,,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
1134,producto_id,FORMATO_INVALIDO, prod-036 ,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE, prod-036 ,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
1187,tiempo_entrega_real_hrs,NEGATIVO,-25.2,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE,-25.2,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
1196,fecha_despacho,FECHA_INVALIDA,04/08/2026 13:22,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE,04/08/2026 13:22,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
1210,cantidad_entregada,FALTANTE,,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE,,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
1222,tiempo_entrega_real_hrs,NEGATIVO,-36.8,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE,-36.8,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
1285,cantidad_entregada,FALTANTE,,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE,,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
1343,tiempo_entrega_real_hrs,NEGATIVO,-20.6,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE,-20.6,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
1355,cliente_id,FORMATO_INVALIDO, cli-098 ,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE, cli-098 ,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
1393,fecha_despacho,FECHA_INVALIDA,04/08/2026 11:48,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE,04/08/2026 11:48,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
1409,fecha_despacho,FECHA_INVALIDA,24/08/2026 07:32,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE,24/08/2026 07:32,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
1456,order_id,FORMATO_INVALIDO, ord-2026-01456 ,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE, ord-2026-01456 ,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
1459,cantidad_entregada,FALTANTE,,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE,,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
1482,producto_id,FORMATO_INVALIDO, prod-052 ,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE, prod-052 ,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
1521,cantidad_entregada,FALTANTE,,GIAD-M3-S4-WMS-orders-diagnostico-v1,,PENDIENTE,,No existe una regla aprobada para modificar este problema,GIAD-M3-S4-WMS-orders-tratamiento-v1
