fila_bronze,order_id,fila_canonica,decision,regla_id,justificacion
7541,ORD-2026-00077,77,COPIA_EXCLUIDA,DUPLICADO_IDENTICO,Las 14 columnas originales coinciden con la primera fila del pedido
7548,ORD-2026-00139,139,COPIA_EXCLUIDA,DUPLICADO_IDENTICO,Las 14 columnas originales coinciden con la primera fila del pedido
7531,ORD-2026-00316,316,COPIA_EXCLUIDA,DUPLICADO_IDENTICO,Las 14 columnas originales coinciden con la primera fila del pedido
7533,ORD-2026-00363,363,COPIA_EXCLUIDA,DUPLICADO_IDENTICO,Las 14 columnas originales coinciden con la primera fila del pedido
7506,ORD-2026-00505,505,COPIA_EXCLUIDA,DUPLICADO_IDENTICO,Las 14 columnas originales coinciden con la primera fila del pedido
7512,ORD-2026-00634,634,COPIA_EXCLUIDA,DUPLICADO_IDENTICO,Las 14 columnas originales coinciden con la primera fila del pedido
7536,ORD-2026-00707,707,COPIA_EXCLUIDA,DUPLICADO_IDENTICO,Las 14 columnas originales coinciden con la primera fila del pedido
7543,ORD-2026-00738,738,COPIA_EXCLUIDA,DUPLICADO_IDENTICO,Las 14 columnas originales coinciden con la primera fila del pedido
7501,ORD-2026-00866,866,COPIA_EXCLUIDA,DUPLICADO_IDENTICO,Las 14 columnas originales coinciden con la primera fila del pedido
7511,ORD-2026-00959,959,COPIA_EXCLUIDA,DUPLICADO_IDENTICO,Las 14 columnas originales coinciden con la primera fila del pedido
7518,ORD-2026-00963,963,COPIA_EXCLUIDA,DUPLICADO_IDENTICO,Las 14 columnas originales coinciden con la primera fila del pedido
7505,ORD-2026-01161,1161,COPIA_EXCLUIDA,DUPLICADO_IDENTICO,Las 14 columnas originales coinciden con la primera fila del pedido
7539,ORD-2026-01327,1327,COPIA_EXCLUIDA,DUPLICADO_IDENTICO,Las 14 columnas originales coinciden con la primera fila del pedido
7514,ORD-2026-01428,1428,COPIA_EXCLUIDA,DUPLICADO_IDENTICO,Las 14 columnas originales coinciden con la primera fila del pedido
7516,ORD-2026-01466,1466,COPIA_EXCLUIDA,DUPLICADO_IDENTICO,Las 14 columnas originales coinciden con la primera fila del pedido
7534,ORD-2026-01565,1565,COPIA_EXCLUIDA,DUPLICADO_IDENTICO,Las 14 columnas originales coinciden con la primera fila del pedido
7547,ORD-2026-01598,1598,COPIA_EXCLUIDA,DUPLICADO_IDENTICO,Las 14 columnas originales coinciden con la primera fila del pedido
7520,ORD-2026-01743,1743,COPIA_EXCLUIDA,DUPLICADO_IDENTICO,Las 14 columnas originales coinciden con la primera fila del pedido
7526,ORD-2026-01910,1910,COPIA_EXCLUIDA,DUPLICADO_IDENTICO,Las 14 columnas originales coinciden con la primera fila del pedido
7540,ORD-2026-02320,2320,COPIA_EXCLUIDA,DUPLICADO_IDENTICO,Las 14 columnas originales coinciden con la primera fila del pedido
7508,ORD-2026-02354,2354,COPIA_EXCLUIDA,DUPLICADO_IDENTICO,Las 14 columnas originales coinciden con la primera fila del pedido
7519,ORD-2026-02362,2362,COPIA_EXCLUIDA,DUPLICADO_IDENTICO,Las 14 columnas originales coinciden con la primera fila del pedido
