2026-08-21 | Turno A | CAM-11 | Cliente reporto producto fuera de temperatura al recibir
25-aug-2026 | Turno B | CAM-13 | Falla de motor menor, resuelta en sitio
25-aug-2026 | Turno B | cam-21 | Camion con temperatura de cabina fuera de rango, se reviso unidad de frio
19-aug-2026 | Turno B | CAM-04 | Falla de motor menor, resuelta en sitio
2026-08-11 | Turno B | CAM-01 | Camion con temperatura de cabina fuera de rango, se reviso unidad de frio
22-aug-2026 | Turno C | CAM-19 | Cliente reporto producto fuera de temperatura al recibir
18/08/2026 | Turno A |  CAM-01  | Chofer reporto demora por trafico
26/08/2026 | Turno C | CAM-22 | Alerta de geocerca por desvio de ruta autorizado
2026-08-04 | Turno B | CAM-30 | Alerta de geocerca por desvio de ruta autorizado
14-aug-2026 | Turno C | CAM-16 | Falla de motor menor, resuelta en sitio
02-aug-2026 | Turno A | CAM-06 | Mantenimiento preventivo de unidad sin novedad
05/08/2026 | Turno C |  CAM-20  | Chofer reporto demora por trafico
26/08/2026 | Turno A | CAM-18 | Mantenimiento preventivo de unidad sin novedad
07/08/2026 | Turno B | CAM-15 | Camion con temperatura de cabina fuera de rango, se reviso unidad de frio
02/08/2026 | Turno B | CAM-27 | Cambio de termo por fuga de refrigerante
28/08/2026 | Turno C | CAM-27 | Camion con temperatura de cabina fuera de rango, se reviso unidad de frio
16/08/2026 |  | CAM-08 | Camion con temperatura de cabina fuera de rango, se reviso unidad de frio
15/08/2026 | Turno C | cam-25 | Cambio de termo por fuga de refrigerante
22/08/2026 | Turno B | CAM-06 | Chofer reporto demora por trafico
2026-08-21 | Turno A | cam-30 | Chofer reporto demora por trafico
16/08/2026 |  | cam-12 | Chofer reporto demora por trafico
2026-08-19 |  | cam-09 | Mantenimiento preventivo de unidad sin novedad
2026-08-01 |  | CAM-02 | Chofer reporto demora por trafico
25/08/2026 | Turno B | cam-14 | Cliente reporto producto fuera de temperatura al recibir
2026-08-11 | Turno B | CAM-02 | Cliente reporto producto fuera de temperatura al recibir
2026-08-28 | Turno B | CAM-23 | Chofer reporto demora por trafico
12-aug-2026 | Turno B | CAM-23 | Cliente reporto producto fuera de temperatura al recibir
09/08/2026  | CAM-20 | Chofer reporto demora por trafico
02-aug-2026 | Turno A | CAM-03 | Cliente reporto producto fuera de temperatura al recibir
07/08/2026 | Turno A | CAM-30 | Camion con temperatura de cabina fuera de rango, se reviso unidad de frio
06-aug-2026 | Turno B |  CAM-08  | Chofer reporto demora por trafico
27-aug-2026 | Turno B | cam-21 | Chofer reporto demora por trafico
16-aug-2026 | Turno A | CAM-15 | Cambio de termo por fuga de refrigerante
27-aug-2026 |  | cam-28 | Mantenimiento preventivo de unidad sin novedad
23/08/2026 | Turno B | CAM-02 | Cambio de termo por fuga de refrigerante
06/08/2026 | Turno C | CAM-18 | Cliente reporto producto fuera de temperatura al recibir
27/08/2026 | Turno B | CAM-12 | Camion con temperatura de cabina fuera de rango, se reviso unidad de frio
2026-08-11 |  | cam-04 | Cliente reporto producto fuera de temperatura al recibir
