_fila_bronze,timestamp,viaje_id,order_id,camion_id,producto_id,temperatura_cabina_c,humedad_cabina_pct,desviacion_termica_flag,temperatura_anterior,ts_temperatura_anterior,variacion_temperatura_30min,ts_base_variacion,motivo_temperatura_anterior,motivo_variacion_30min,desviacion_proximos_60min_flag,ventana_objetivo_evaluable,objetivo_coincide_con_silver,calidad_estado,calidad_motivo
2,2026-08-11 18:11:00+00:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,2.19,72.6,0,,,,,primera_lectura_del_viaje,primera_lectura_del_viaje,0.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
3,2026-08-11 18:41:00+00:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,4.91,75.0,0,2.19,2026-08-11 18:11:00+00:00,2.72,2026-08-11 18:11:00+00:00,,,0.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
4,2026-08-11 19:11:00+00:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,2.76,94.7,0,4.91,2026-08-11 18:41:00+00:00,-2.1500000000000004,2026-08-11 18:41:00+00:00,,,0.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
5,2026-08-11 19:41:00+00:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,3.96,74.0,0,2.76,2026-08-11 19:11:00+00:00,1.2000000000000002,2026-08-11 19:11:00+00:00,,,0.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
6,2026-08-11 20:11:00+00:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,4.49,70.3,0,3.96,2026-08-11 19:41:00+00:00,0.5300000000000002,2026-08-11 19:41:00+00:00,,,0.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
7,2026-08-11 20:41:00+00:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,2.29,86.1,0,4.49,2026-08-11 20:11:00+00:00,-2.2,2026-08-11 20:11:00+00:00,,,0.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
8,2026-08-11 21:11:00+00:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,3.76,85.6,0,2.29,2026-08-11 20:41:00+00:00,1.4699999999999998,2026-08-11 20:41:00+00:00,,,0.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
9,2026-08-11 21:41:00+00:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,3.48,,0,3.76,2026-08-11 21:11:00+00:00,-0.2799999999999998,2026-08-11 21:11:00+00:00,,,0.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
10,2026-08-11 22:11:00+00:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,2.85,76.1,0,3.48,2026-08-11 21:41:00+00:00,-0.6299999999999999,2026-08-11 21:41:00+00:00,,,0.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
11,2026-08-11 22:41:00+00:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,3.57,76.9,0,2.85,2026-08-11 22:11:00+00:00,0.7199999999999998,2026-08-11 22:11:00+00:00,,,0.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
12,2026-08-11 23:11:00+00:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,4.17,87.7,0,3.57,2026-08-11 22:41:00+00:00,0.6000000000000001,2026-08-11 22:41:00+00:00,,,0.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
13,2026-08-11 23:41:00+00:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,4.09,70.2,0,4.17,2026-08-11 23:11:00+00:00,-0.08000000000000007,2026-08-11 23:11:00+00:00,,,0.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
14,2026-08-12 00:11:00+00:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,3.63,78.9,0,4.09,2026-08-11 23:41:00+00:00,-0.45999999999999996,2026-08-11 23:41:00+00:00,,,0.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
15,2026-08-12 00:41:00+00:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,2.13,73.2,0,3.63,2026-08-12 00:11:00+00:00,-1.5,2026-08-12 00:11:00+00:00,,,0.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
16,2026-08-12 01:11:00+00:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,4.11,81.7,0,2.13,2026-08-12 00:41:00+00:00,1.9800000000000004,2026-08-12 00:41:00+00:00,,,1.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
17,2026-08-12 01:41:00+00:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,5.29,76.7,0,4.11,2026-08-12 01:11:00+00:00,1.1799999999999997,2026-08-12 01:11:00+00:00,,,1.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
18,2026-08-12 02:11:00+00:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,8.93,80.2,1,5.29,2026-08-12 01:41:00+00:00,3.6399999999999997,2026-08-12 01:41:00+00:00,,,1.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
19,2026-08-12 02:41:00+00:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,9.42,75.2,1,8.93,2026-08-12 02:11:00+00:00,0.4900000000000002,2026-08-12 02:11:00+00:00,,,1.0,True,True,objetivo_evaluable,ventana_60min_observada_dentro_de_la_entidad
