bloque,variante,ambito,umbral,metrica,valor,detalle
prueba_evaluacion_final,linea_base_clase_mayoritaria,conjunto de prueba reservado,,accuracy,0.9517067494181536,linea_base_clase_mayoritaria
prueba_evaluacion_final,linea_base_clase_mayoritaria,conjunto de prueba reservado,,precision,0.0,linea_base_clase_mayoritaria
prueba_evaluacion_final,linea_base_clase_mayoritaria,conjunto de prueba reservado,,recall,0.0,linea_base_clase_mayoritaria
prueba_evaluacion_final,linea_base_clase_mayoritaria,conjunto de prueba reservado,,f1,0.0,linea_base_clase_mayoritaria
prueba_evaluacion_final,linea_base_clase_mayoritaria,conjunto de prueba reservado,,roc_auc,0.5,linea_base_clase_mayoritaria
prueba_evaluacion_final,linea_base_clase_mayoritaria,conjunto de prueba reservado,,pr_auc,0.04829325058184639,linea_base_clase_mayoritaria
prueba_evaluacion_final,linea_base_clase_mayoritaria,conjunto de prueba reservado,,prevalencia,0.04829325058184639,linea_base_clase_mayoritaria
prueba_evaluacion_final,linea_base_clase_mayoritaria,conjunto de prueba reservado,,tn,4907.0,linea_base_clase_mayoritaria
prueba_evaluacion_final,linea_base_clase_mayoritaria,conjunto de prueba reservado,,fp,0.0,linea_base_clase_mayoritaria
prueba_evaluacion_final,linea_base_clase_mayoritaria,conjunto de prueba reservado,,fn,249.0,linea_base_clase_mayoritaria
prueba_evaluacion_final,linea_base_clase_mayoritaria,conjunto de prueba reservado,,tp,0.0,linea_base_clase_mayoritaria
prueba_evaluacion_final,modelo_principal_umbral_0.5,conjunto de prueba reservado,,accuracy,0.9230023273855702,modelo_principal_umbral_0.5
prueba_evaluacion_final,modelo_principal_umbral_0.5,conjunto de prueba reservado,,precision,0.30319148936170215,modelo_principal_umbral_0.5
prueba_evaluacion_final,modelo_principal_umbral_0.5,conjunto de prueba reservado,,recall,0.4578313253012048,modelo_principal_umbral_0.5
prueba_evaluacion_final,modelo_principal_umbral_0.5,conjunto de prueba reservado,,f1,0.3648,modelo_principal_umbral_0.5
prueba_evaluacion_final,modelo_principal_umbral_0.5,conjunto de prueba reservado,,roc_auc,0.7593037730706809,modelo_principal_umbral_0.5
prueba_evaluacion_final,modelo_principal_umbral_0.5,conjunto de prueba reservado,,pr_auc,0.32406915828275806,modelo_principal_umbral_0.5
prueba_evaluacion_final,modelo_principal_umbral_0.5,conjunto de prueba reservado,,prevalencia,0.04829325058184639,modelo_principal_umbral_0.5
prueba_evaluacion_final,modelo_principal_umbral_0.5,conjunto de prueba reservado,,tn,4645.0,modelo_principal_umbral_0.5
prueba_evaluacion_final,modelo_principal_umbral_0.5,conjunto de prueba reservado,,fp,262.0,modelo_principal_umbral_0.5
prueba_evaluacion_final,modelo_principal_umbral_0.5,conjunto de prueba reservado,,fn,135.0,modelo_principal_umbral_0.5
prueba_evaluacion_final,modelo_principal_umbral_0.5,conjunto de prueba reservado,,tp,114.0,modelo_principal_umbral_0.5
prueba_evaluacion_final,modelo_principal_umbral_secundario,conjunto de prueba reservado,,accuracy,0.9569433669511249,modelo_principal_umbral_secundario
prueba_evaluacion_final,modelo_principal_umbral_secundario,conjunto de prueba reservado,,precision,0.574585635359116,modelo_principal_umbral_secundario
prueba_evaluacion_final,modelo_principal_umbral_secundario,conjunto de prueba reservado,,recall,0.41767068273092367,modelo_principal_umbral_secundario
prueba_evaluacion_final,modelo_principal_umbral_secundario,conjunto de prueba reservado,,f1,0.48372093023255813,modelo_principal_umbral_secundario
prueba_evaluacion_final,modelo_principal_umbral_secundario,conjunto de prueba reservado,,roc_auc,0.7593037730706809,modelo_principal_umbral_secundario
prueba_evaluacion_final,modelo_principal_umbral_secundario,conjunto de prueba reservado,,pr_auc,0.32406915828275806,modelo_principal_umbral_secundario
prueba_evaluacion_final,modelo_principal_umbral_secundario,conjunto de prueba reservado,,prevalencia,0.04829325058184639,modelo_principal_umbral_secundario
prueba_evaluacion_final,modelo_principal_umbral_secundario,conjunto de prueba reservado,,tn,4830.0,modelo_principal_umbral_secundario
prueba_evaluacion_final,modelo_principal_umbral_secundario,conjunto de prueba reservado,,fp,77.0,modelo_principal_umbral_secundario
prueba_evaluacion_final,modelo_principal_umbral_secundario,conjunto de prueba reservado,,fn,145.0,modelo_principal_umbral_secundario
prueba_evaluacion_final,modelo_principal_umbral_secundario,conjunto de prueba reservado,,tp,104.0,modelo_principal_umbral_secundario
cv_grupos_principal,class_weight='balanced',"validacion cruzada por grupos, fold 1",,accuracy,0.9559039686428221,filas 4082
cv_grupos_principal,class_weight='balanced',"validacion cruzada por grupos, fold 1",,precision,0.6689655172413793,filas 4082
cv_grupos_principal,class_weight='balanced',"validacion cruzada por grupos, fold 1",,recall,0.42358078602620086,filas 4082
cv_grupos_principal,class_weight='balanced',"validacion cruzada por grupos, fold 1",,f1,0.5187165775401069,filas 4082
cv_grupos_principal,class_weight='balanced',"validacion cruzada por grupos, fold 1",,roc_auc,0.8053192827683755,filas 4082
cv_grupos_principal,class_weight='balanced',"validacion cruzada por grupos, fold 1",,pr_auc,0.4384381358075645,filas 4082
