_fila_bronze,movimiento_id,lote_id,producto_id,centro_distribucion,fecha_ingreso,fecha_salida,fecha_vencimiento,cantidad_ingreso,cantidad_salida,cantidad_merma,dias_en_almacen,costo_unitario_bob,movimiento_id_original,lote_id_original,producto_id_original,centro_distribucion_original,fecha_ingreso_original,fecha_salida_original,fecha_vencimiento_original,cantidad_ingreso_original,cantidad_salida_original,cantidad_merma_original,dias_en_almacen_original,costo_unitario_bob_original,errores_bloqueantes,motivos_transformacion,motivos_imputacion,fue_transformada,fue_imputada,cantidad_ingreso_conversion_invalida,cantidad_ingreso_centinela_detectado,cantidad_salida_conversion_invalida,cantidad_salida_centinela_detectado,cantidad_merma_conversion_invalida,cantidad_merma_centinela_detectado,dias_en_almacen_conversion_invalida,dias_en_almacen_centinela_detectado,costo_unitario_bob_conversion_invalida,costo_unitario_bob_centinela_detectado,fecha_ingreso_timestamp_detectado,fecha_ingreso_timestamp_utc,fecha_salida_timestamp_detectado,fecha_salida_timestamp_utc,fecha_vencimiento_timestamp_detectado,fecha_vencimiento_timestamp_utc,fecha_ingreso_conversion_determinista,fecha_ingreso_conversion_invalida,fecha_salida_conversion_determinista,fecha_salida_conversion_invalida,fecha_vencimiento_conversion_determinista,fecha_vencimiento_conversion_invalida,fecha_salida_vacia,centro_distribucion_valido,salida_incoherente,cantidad_restante_calculada,dias_vencimiento_calculado,vence_dentro_30_dias,duplicado_clave,duplicado_exacto,conflicto_clave,conservar_copia_duplicada,producto_id_corresponde_productos_silver,fecha_vencimiento_fuente,wms_lote_id_disponible,calidad_motivo,calidad_estado,conteo_transformaciones,conteo_imputaciones,imputacion_metodo,imputacion_motivo
102,MOV-000102,LOT-2026-00102,PROD-037,Tarija,2026-07-23,2026-08-16,2026-08-10,737.0,700.0,35.0,24.0,25.76,MOV-000102,LOT-2026-00102,PROD-037,Tarija,2026-07-23,2026-08-16,2026-08-10,737,700,35,24,25.76,duplicado_exacto:copia_resuelta_con_trazabilidad,duplicado_exacto:copia_conservada_con_trazabilidad,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,False,False,False,False,False,False,True,False,2.0,21.0,True,True,True,False,True,True,bronze_observada,False,duplicado_exacto:copia_resuelta_con_trazabilidad,cuarentena,0,0,,
190,MOV-000190,LOT-2026-00190,PROD-042,La Paz,2026-05-15,2026-06-08,2027-05-15,599.0,595.0,3.0,24.0,55.74,MOV-000190,LOT-2026-00190,PROD-042,La Paz,2026-05-15,2026-06-08,2027-05-15,599,595,3,24,55.74,duplicado_exacto:copia_resuelta_con_trazabilidad,duplicado_exacto:copia_conservada_con_trazabilidad,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,False,False,False,False,False,False,True,False,1.0,-257.0,False,True,True,False,True,True,bronze_observada,False,duplicado_exacto:copia_resuelta_con_trazabilidad,cuarentena,0,0,,
486,MOV-000486,LOT-2026-00486,PROD-003,Cochabamba,2026-06-28,2026-07-09,2027-06-28,877.0,866.0,5.0,11.0,68.01,MOV-000486,LOT-2026-00486,PROD-003,Cochabamba,2026-06-28,2026-07-09,2027-06-28,877,866,5,11,68.01,duplicado_exacto:copia_resuelta_con_trazabilidad,duplicado_exacto:copia_conservada_con_trazabilidad,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,False,False,False,False,False,False,True,False,6.0,-301.0,False,True,True,False,True,True,bronze_observada,False,duplicado_exacto:copia_resuelta_con_trazabilidad,cuarentena,0,0,,
734,MOV-000734,LOT-2026-00734,PROD-006,Tarija,2026-05-26,2026-06-06,2027-05-26,362.0,353.0,3.0,11.0,29.49,MOV-000734,LOT-2026-00734,PROD-006,Tarija,2026-05-26,2026-06-06,2027-05-26,362,353,3,11,29.49,duplicado_exacto:copia_resuelta_con_trazabilidad,duplicado_exacto:copia_conservada_con_trazabilidad,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,False,False,False,False,False,False,True,False,6.0,-268.0,False,True,True,False,True,True,bronze_observada,False,duplicado_exacto:copia_resuelta_con_trazabilidad,cuarentena,0,0,,
904,MOV-000904,LOT-2026-00904,PROD-022,Cochabamba,2026-07-17,2026-08-14,2026-08-04,702.0,661.0,35.0,28.0,24.66,MOV-000904,LOT-2026-00904,PROD-022,Cochabamba,2026-07-17,2026-08-14,2026-08-04,702,661,35,28,24.66,duplicado_exacto:copia_resuelta_con_trazabilidad,duplicado_exacto:copia_conservada_con_trazabilidad,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,False,False,False,False,False,False,True,False,6.0,27.0,True,True,True,False,True,True,bronze_observada,False,duplicado_exacto:copia_resuelta_con_trazabilidad,cuarentena,0,0,,
912,MOV-000912,LOT-2026-00912,PROD-023,Santa Cruz,2026-08-03,2026-08-15,2026-08-21,,184.0,5.0,12.0,22.32,MOV-000912,LOT-2026-00912,PROD-023,Santa Cruz,2026-08-03,2026-08-15,2026-08-21,cien,184,5,12,22.32,cantidad_ingreso:conversion_invalida_o_centinela;cantidad_ingreso:valor_no_numerico_o_negativo,,,False,False,True,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,False,False,False,False,False,False,True,False,,10.0,True,False,False,False,False,True,bronze_observada,False,cantidad_ingreso:conversion_invalida_o_centinela;cantidad_ingreso:valor_no_numerico_o_negativo,cuarentena,0,0,,
978,MOV-000978,LOT-2026-00978,PROD-006,Santa Cruz,2026-08-28,2026-09-10,2027-08-28,235.0,232.0,1.0,13.0,29.49,MOV-000978,LOT-2026-00978,PROD-006,Santa Cruz,2026-08-28,2026-09-10,2027-08-28,235,232,1,13,29.49,duplicado_exacto:copia_resuelta_con_trazabilidad,duplicado_exacto:copia_conservada_con_trazabilidad,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,False,False,False,False,False,False,True,False,2.0,-362.0,False,True,True,False,True,True,bronze_observada,False,duplicado_exacto:copia_resuelta_con_trazabilidad,cuarentena,0,0,,
1052,MOV-001052,LOT-2026-01052,PROD-032,Cochabamba,2026-08-15,2026-09-02,2027-08-15,948.0,943.0,,18.0,33.13,MOV-001052,LOT-2026-01052,PROD-032,Cochabamba,2026-08-15,2026-09-02,2027-08-15,948,943,-5,18,33.13,cantidad_merma:valor_no_numerico_o_negativo,,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,False,False,False,False,False,False,True,False,,-349.0,False,False,False,False,False,True,bronze_observada,False,cantidad_merma:valor_no_numerico_o_negativo,cuarentena,0,0,,
1055,MOV-001055,LOT-2026-01055,PROD-001,Tarija,2026-08-09,2026-08-19,2026-08-27,105.0,99.0,3.0,10.0,20.26,MOV-001055,LOT-2026-01055,PROD-001,Tarija,2026-08-09,2026-08-19,2026-08-27,105,99,3,10,20.26,duplicado_exacto:copia_resuelta_con_trazabilidad,duplicado_exacto:copia_conservada_con_trazabilidad,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,False,False,False,False,False,False,True,False,3.0,4.0,True,True,True,False,True,True,bronze_observada,False,duplicado_exacto:copia_resuelta_con_trazabilidad,cuarentena,0,0,,
1066,MOV-001066,LOT-2026-01066,PROD-004,Oruro,2026-07-12,2026-08-08,2026-07-30,,281.0,15.0,27.0,16.27,MOV-001066,LOT-2026-01066,PROD-004,Oruro,2026-07-12,2026-08-08,2026-07-30,cien,281,15,27,16.27,cantidad_ingreso:conversion_invalida_o_centinela;cantidad_ingreso:valor_no_numerico_o_negativo,,,False,False,True,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,False,False,False,False,False,False,True,False,,32.0,False,False,False,False,False,True,bronze_observada,False,cantidad_ingreso:conversion_invalida_o_centinela;cantidad_ingreso:valor_no_numerico_o_negativo,cuarentena,0,0,,
