order_id,cliente_id,producto_id,fecha_despacho,centro_distribucion,camion_id,chofer_id,cantidad_solicitada,cantidad_entregada,tiempo_entrega_prometido_hrs,tiempo_entrega_real_hrs,otif_on_time,otif_in_full,otif,_fila_bronze,errores_bloqueantes,motivos_transformacion,motivos_imputacion,order_id_original,cliente_id_original,producto_id_original,fecha_despacho_original,centro_distribucion_original,camion_id_original,chofer_id_original,cantidad_solicitada_original,cantidad_entregada_original,tiempo_entrega_prometido_hrs_original,tiempo_entrega_real_hrs_original,otif_on_time_original,otif_in_full_original,otif_original,order_id_tratado,order_id_transformado,cliente_id_tratado,cliente_id_transformado,producto_id_tratado,producto_id_transformado,camion_id_tratado,camion_id_transformado,chofer_id_tratado,chofer_id_transformado,centro_distribucion_tratado,centro_distribucion_transformado,cantidad_solicitada_texto_tratado,cantidad_solicitada_palabra_normalizada,cantidad_solicitada_tratado,cantidad_solicitada_conversion_invalida,cantidad_solicitada_centinela_detectado,cantidad_entregada_tratado,cantidad_entregada_conversion_invalida,cantidad_entregada_centinela_detectado,tiempo_entrega_prometido_hrs_tratado,tiempo_entrega_prometido_hrs_conversion_invalida,tiempo_entrega_prometido_hrs_centinela_detectado,tiempo_entrega_real_hrs_tratado,tiempo_entrega_real_hrs_conversion_invalida,tiempo_entrega_real_hrs_centinela_detectado,otif_on_time_tratado,otif_on_time_conversion_invalida,otif_on_time_centinela_detectado,otif_in_full_tratado,otif_in_full_conversion_invalida,otif_in_full_centinela_detectado,otif_tratado,otif_conversion_invalida,otif_centinela_detectado,fecha_despacho_formato,fecha_despacho_formato_reconocido,fecha_despacho_tratado,fecha_despacho_conversion_invalida,fecha_despacho_transformado,producto_id_corresponde_silver,camion_id_corresponde_silver,fue_imputada,imputacion_metodo,imputacion_motivo,fue_transformada,conteo_transformaciones,conteo_imputaciones,calidad_motivo,calidad_estado
ORD-2026-00002,CLI-098,PROD-036,2026-08-17 13:25:00+00:00,La Paz,CAM-28,CHO-094,296.0,296.0,24.0,11.6,1.0,1.0,1.0,3,producto_id_sin_correspondencia_silver,fecha_local_bolivia_convertida_utc,,ORD-2026-00002,CLI-098,PROD-036,2026-08-17 09:25:00,La Paz,CAM-28,CHO-094,296,296.0,24,11.6,1,1,1,ORD-2026-00002,False,CLI-098,False,PROD-036,False,CAM-28,False,CHO-094,False,La Paz,False,296,False,296.0,False,False,296.0,False,False,24.0,False,False,11.6,False,False,1.0,False,False,1.0,False,False,1.0,False,False,iso,True,2026-08-17 13:25:00+00:00,False,True,False,True,False,,,True,1,0,producto_id_sin_correspondencia_silver,cuarentena
ORD-2026-00004,CLI-079,PROD-014,2026-08-27 19:16:00+00:00,Tarija,CAM-26,CHO-078,151.0,151.0,72.0,60.4,1.0,1.0,1.0,5,producto_id_sin_correspondencia_silver,fecha_local_bolivia_convertida_utc,,ORD-2026-00004,CLI-079,PROD-014,2026-08-27 15:16:00,Tarija,CAM-26,CHO-078,151,151.0,72,60.4,1,1,1,ORD-2026-00004,False,CLI-079,False,PROD-014,False,CAM-26,False,CHO-078,False,Tarija,False,151,False,151.0,False,False,151.0,False,False,72.0,False,False,60.4,False,False,1.0,False,False,1.0,False,False,1.0,False,False,iso,True,2026-08-27 19:16:00+00:00,False,True,False,True,False,,,True,1,0,producto_id_sin_correspondencia_silver,cuarentena
ORD-2026-00011,CLI-021,PROD-036,2026-08-04 15:16:00+00:00,Oruro,CAM-24,CHO-027,97.0,88.0,72.0,68.3,1.0,0.0,0.0,12,producto_id_sin_correspondencia_silver,fecha_local_bolivia_convertida_utc,,ORD-2026-00011,CLI-021,PROD-036,2026-08-04 11:16:00,Oruro,CAM-24,CHO-027,97,88.0,72,68.3,1,0,0,ORD-2026-00011,False,CLI-021,False,PROD-036,False,CAM-24,False,CHO-027,False,Oruro,False,97,False,97.0,False,False,88.0,False,False,72.0,False,False,68.3,False,False,1.0,False,False,0.0,False,False,0.0,False,False,iso,True,2026-08-04 15:16:00+00:00,False,True,False,True,False,,,True,1,0,producto_id_sin_correspondencia_silver,cuarentena
ORD-2026-00019,CLI-040,PROD-028,2026-08-20 06:43:00+00:00,Oruro,CAM-24,CHO-038,36.0,36.0,24.0,27.1,0.0,1.0,0.0,20,producto_id_sin_correspondencia_silver,fecha_local_bolivia_convertida_utc,,ORD-2026-00019,CLI-040,PROD-028,2026-08-20 02:43:00,Oruro,CAM-24,CHO-038,36,36.0,24,27.1,0,1,0,ORD-2026-00019,False,CLI-040,False,PROD-028,False,CAM-24,False,CHO-038,False,Oruro,False,36,False,36.0,False,False,36.0,False,False,24.0,False,False,27.1,False,False,0.0,False,False,1.0,False,False,0.0,False,False,iso,True,2026-08-20 06:43:00+00:00,False,True,False,True,False,,,True,1,0,producto_id_sin_correspondencia_silver,cuarentena
ORD-2026-00035,CLI-023,PROD-036,2026-08-04 06:19:00+00:00,Tarija,CAM-26,CHO-055,318.0,300.0,48.0,38.2,1.0,0.0,0.0,36,producto_id_sin_correspondencia_silver,fecha_local_bolivia_convertida_utc,,ORD-2026-00035,CLI-023,PROD-036,2026-08-04 02:19:00,Tarija,CAM-26,CHO-055,318,300.0,48,38.2,1,0,0,ORD-2026-00035,False,CLI-023,False,PROD-036,False,CAM-26,False,CHO-055,False,Tarija,False,318,False,318.0,False,False,300.0,False,False,48.0,False,False,38.2,False,False,1.0,False,False,0.0,False,False,0.0,False,False,iso,True,2026-08-04 06:19:00+00:00,False,True,False,True,False,,,True,1,0,producto_id_sin_correspondencia_silver,cuarentena
ORD-2026-00045,CLI-056,PROD-036,2026-08-09 14:25:00+00:00,Oruro,CAM-20,CHO-046,170.0,170.0,48.0,40.6,1.0,1.0,1.0,46,producto_id_sin_correspondencia_silver,fecha_local_bolivia_convertida_utc,,ORD-2026-00045,CLI-056,PROD-036,2026-08-09 10:25:00,Oruro,CAM-20,CHO-046,170,170.0,48,40.6,1,1,1,ORD-2026-00045,False,CLI-056,False,PROD-036,False,CAM-20,False,CHO-046,False,Oruro,False,170,False,170.0,False,False,170.0,False,False,48.0,False,False,40.6,False,False,1.0,False,False,1.0,False,False,1.0,False,False,iso,True,2026-08-09 14:25:00+00:00,False,True,False,True,False,,,True,1,0,producto_id_sin_correspondencia_silver,cuarentena
ORD-2026-00048,CLI-065,PROD-028,2026-08-06 15:26:00+00:00,Cochabamba,CAM-05,CHO-012,128.0,128.0,24.0,20.0,1.0,1.0,1.0,49,producto_id_sin_correspondencia_silver,fecha_local_bolivia_convertida_utc,,ORD-2026-00048,CLI-065,PROD-028,2026-08-06 11:26:00,Cochabamba,CAM-05,CHO-012,128,128.0,24,20.0,1,1,1,ORD-2026-00048,False,CLI-065,False,PROD-028,False,CAM-05,False,CHO-012,False,Cochabamba,False,128,False,128.0,False,False,128.0,False,False,24.0,False,False,20.0,False,False,1.0,False,False,1.0,False,False,1.0,False,False,iso,True,2026-08-06 15:26:00+00:00,False,True,False,True,False,,,True,1,0,producto_id_sin_correspondencia_silver,cuarentena
ORD-2026-00055,CLI-080,PROD-028,2026-08-08 15:06:00+00:00,La Paz,CAM-28,CHO-094,466.0,466.0,48.0,42.3,1.0,1.0,1.0,56,producto_id_sin_correspondencia_silver,fecha_local_bolivia_convertida_utc,,ORD-2026-00055,CLI-080,PROD-028,2026-08-08 11:06:00,La Paz,CAM-28,CHO-094,466,466.0,48,42.3,1,1,1,ORD-2026-00055,False,CLI-080,False,PROD-028,False,CAM-28,False,CHO-094,False,La Paz,False,466,False,466.0,False,False,466.0,False,False,48.0,False,False,42.3,False,False,1.0,False,False,1.0,False,False,1.0,False,False,iso,True,2026-08-08 15:06:00+00:00,False,True,False,True,False,,,True,1,0,producto_id_sin_correspondencia_silver,cuarentena
ORD-2026-00062,CLI-011,PROD-028,2026-08-20 21:43:00+00:00,Santa Cruz,CAM-18,CHO-137,108.0,108.0,72.0,44.6,1.0,1.0,1.0,63,producto_id_sin_correspondencia_silver,fecha_local_bolivia_convertida_utc,,ORD-2026-00062,CLI-011,PROD-028,2026-08-20 17:43:00,Santa Cruz,CAM-18,CHO-137,108,108.0,72,44.6,1,1,1,ORD-2026-00062,False,CLI-011,False,PROD-028,False,CAM-18,False,CHO-137,False,Santa Cruz,False,108,False,108.0,False,False,108.0,False,False,72.0,False,False,44.6,False,False,1.0,False,False,1.0,False,False,1.0,False,False,iso,True,2026-08-20 21:43:00+00:00,False,True,False,True,False,,,True,1,0,producto_id_sin_correspondencia_silver,cuarentena
ORD-2026-00070,CLI-054,PROD-042,2026-08-02 16:44:00+00:00,Cochabamba,CAM-27,CHO-096,70.0,70.0,72.0,50.2,1.0,1.0,1.0,71,camion_id_sin_correspondencia_silver,fecha_local_bolivia_convertida_utc,,ORD-2026-00070,CLI-054,PROD-042,2026-08-02 12:44:00,Cochabamba,CAM-27,CHO-096,70,70.0,72,50.2,1,1,1,ORD-2026-00070,False,CLI-054,False,PROD-042,False,CAM-27,False,CHO-096,False,Cochabamba,False,70,False,70.0,False,False,70.0,False,False,72.0,False,False,50.2,False,False,1.0,False,False,1.0,False,False,1.0,False,False,iso,True,2026-08-02 16:44:00+00:00,False,True,True,False,False,,,True,1,0,camion_id_sin_correspondencia_silver,cuarentena
