_fila_fuente,chofer_id,centro_distribucion,horas_conduccion_mes,salario_base_bob,ausentismo_dias,chofer_id_original,centro_distribucion_original,horas_conduccion_mes_original,salario_base_bob_original,ausentismo_dias_original,errores_bloqueantes,motivos_transformacion,motivos_imputacion,fue_transformada,fue_imputada,chofer_id_normalizado,horas_conduccion_mes_conversion_invalida,horas_conduccion_mes_centinela_detectado,salario_base_bob_conversion_invalida,salario_base_bob_centinela_detectado,ausentismo_dias_conversion_invalida,ausentismo_dias_centinela_detectado,duplicado_operativo,copia_duplicada,conflicto_clave,calidad_motivo,calidad_estado,conteo_transformaciones,conteo_imputaciones,imputacion_metodo,imputacion_motivo
2,CHO-001,La Paz,172.7,5681.36,0,CHO-001,La Paz,172.7,5681.36,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
3,CHO-002,Cochabamba,153.6,6041.38,0,CHO-002,Cochabamba,153.6,6041.38,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
4,CHO-003,Cochabamba,93.7,4598.16,0,CHO-003,Cochabamba,93.7,4598.16,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,True,False,False,sin_incidencias,valida,1,0,,
5,CHO-004,La Paz,169.3,6231.62,0,CHO-004,La Paz,169.3,6231.62,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
6,CHO-005,Tarija,123.2,4283.68,0,CHO-005,Tarija,123.2,4283.68,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
7,CHO-006,La Paz,135.8,5326.86,0,CHO-006,La Paz,135.8,5326.86,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
8,CHO-007,Cochabamba,137.8,6284.56,0,CHO-007,Cochabamba,137.8,6284.56,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
9,CHO-008,Santa Cruz,148.7,3761.2,0,CHO-008,Santa Cruz,148.7,3761.2,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
10,CHO-009,La Paz,173.5,3765.11,1,CHO-009,La Paz,173.5,3765.11,1,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
11,CHO-010,Tarija,136.4,3604.79,1,CHO-010,Tarija,136.4,3604.79,1,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
12,CHO-011,La Paz,176.8,4601.26,0,CHO-011,La Paz,176.8,4601.26,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
13,CHO-012,Cochabamba,120.1,3541.05,0,CHO-012,Cochabamba,120.1,3541.05,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
14,CHO-013,La Paz,234.3,3692.38,0,CHO-013,La Paz,234.3,3692.38,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
15,CHO-014,Tarija,238.9,4270.96,0,CHO-014,Tarija,238.9,4270.96,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
16,CHO-015,Santa Cruz,133.0,5000.36,5,CHO-015,Santa Cruz,133.0,5000.36,5,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
17,CHO-016,Cochabamba,131.6,3955.57,1,CHO-016,Cochabamba,131.6,3955.57,1,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
18,CHO-017,Cochabamba,143.0,5375.56,0,CHO-017,Cochabamba,143.0,5375.56,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
19,CHO-018,La Paz,128.2,5449.56,0,CHO-018,La Paz,128.2,5449.56,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
20,CHO-019,Cochabamba,180.1,4981.38,0, cho-019 ,Cochabamba,180.1,4981.38,0,,nombre_eliminado_por_privacidad;chofer_id:espacios_y_mayusculas_normalizados,,True,False,True,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,2,0,,
21,CHO-020,Cochabamba,138.5,5216.03,3,CHO-020,Cochabamba,138.5,5216.03,3,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
22,CHO-021,Santa Cruz,141.9,4696.47,0,CHO-021,Santa Cruz,141.9,4696.47,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
23,CHO-022,La Paz,176.7,6363.42,0,CHO-022,La Paz,176.7,6363.42,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
24,CHO-023,La Paz,166.8,5648.63,0,CHO-023,La Paz,166.8,5648.63,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
25,CHO-024,Cochabamba,135.4,5361.52,0,CHO-024,Cochabamba,135.4,5361.52,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
26,CHO-025,Tarija,150.4,5101.37,5,CHO-025,Tarija,150.4,5101.37,5,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
27,CHO-026,Santa Cruz,124.9,4177.09,0,CHO-026,Santa Cruz,124.9,4177.09,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
28,CHO-027,Oruro,191.5,5633.77,0,CHO-027,Oruro,191.5,5633.77,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
29,CHO-028,Santa Cruz,116.0,4168.91,0,CHO-028,Santa Cruz,116.0,4168.91,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
30,CHO-029,Cochabamba,159.2,4592.87,0,CHO-029,Cochabamba,159.2,4592.87,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
31,CHO-030,Santa Cruz,105.8,5461.52,0,CHO-030,Santa Cruz,105.8,5461.52,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
32,CHO-031,Cochabamba,159.5,3809.87,0,CHO-031,Cochabamba,159.5,3809.87,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
33,CHO-032,Tarija,127.8,5372.13,3,CHO-032,Tarija,127.8,5372.13,3,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
34,CHO-033,Cochabamba,144.1,4729.78,0,CHO-033,Cochabamba,144.1,4729.78,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
35,CHO-034,Santa Cruz,163.6,4658.1,0,CHO-034,Santa Cruz,163.6,4658.1,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
