evento_tec_id,camion_id,posicion_evento,sistema,fecha_exportacion,evento_id,timestamp,tipo,severidad,valor_lectura,reconocido,umbral_temp_cabina_c,geocerca_radio_km,ultimo_mantenimiento,camion_id_original,evento_id_original,timestamp_original,tipo_original,severidad_original,valor_lectura_original,reconocido_original,errores_bloqueantes,motivos_transformacion,motivos_imputacion,fue_transformada,fue_imputada,valor_lectura_no_aplica,valor_lectura_conversion_invalida,valor_lectura_centinela_detectado,reconocido_normalizado,reconocido_ausente,timestamp_utc,timestamp_tratado,timestamp_formato_detectado,timestamp_transformado,timestamp_conversion_invalida,tipo_valido,severidad_valida,camion_corresponde_flota_silver,duplicado_evento_id,duplicado_exacto,conflicto_evento,copia_duplicada,calidad_motivo,calidad_estado,conteo_transformaciones,conteo_imputaciones,imputacion_metodo,imputacion_motivo
1,CAM-01,1,TELEMATICA-AndinaLog,2026-08-30T00:00:00,EVT-ALOG-00001,01/08/2026 12:16,ALERTA_TEMP_CADENA_FRIO,Media,67.85,True,6.5,57.9,2026-07-29,CAM-01,EVT-ALOG-00001,01/08/2026 12:16,ALERTA_TEMP_CADENA_FRIO,Media,67.85,True,,,,True,False,False,False,False,True,False,2026-08-01 16:16:00+00:00,2026-08-01T16:16:00+0000,DD/MM/YYYY HH:MM,True,False,True,True,False,False,False,False,False,sin_incidencias,valida,1,0,,
2,CAM-01,2,TELEMATICA-AndinaLog,2026-08-30T00:00:00,EVT-ALOG-00002,2026-08-27T01:14:00,MANTENIMIENTO_PROGRAMADO,Baja,63.21,False,6.5,57.9,2026-07-29,CAM-01,EVT-ALOG-00002,2026-08-27T01:14:00,MANTENIMIENTO_PROGRAMADO,Baja,63.21,False,,,,False,False,False,False,False,False,False,2026-08-27 05:14:00+00:00,2026-08-27T05:14:00+0000,ISO,False,False,True,True,False,False,False,False,False,sin_incidencias,valida,0,0,,
3,CAM-01,3,TELEMATICA-AndinaLog,2026-08-30T00:00:00,EVT-ALOG-00003,2026-08-11T07:15:00,EXCESO_VELOCIDAD,Baja,84.51,True,6.5,57.9,2026-07-29,CAM-01,EVT-ALOG-00003,2026-08-11T07:15:00,EXCESO_VELOCIDAD,Baja,84.51,True,,,,False,False,False,False,False,True,False,2026-08-11 11:15:00+00:00,2026-08-11T11:15:00+0000,ISO,False,False,True,True,False,False,False,False,False,sin_incidencias,valida,0,0,,
4,CAM-01,4,TELEMATICA-AndinaLog,2026-08-30T00:00:00,EVT-ALOG-00004,2026-08-27T21:27:00,GEOCERCA_SALIDA,Media,75.76,True,6.5,57.9,2026-07-29,CAM-01,EVT-ALOG-00004,2026-08-27T21:27:00,GEOCERCA_SALIDA,Media,75.76,True,,,,False,False,False,False,False,True,False,2026-08-28 01:27:00+00:00,2026-08-28T01:27:00+0000,ISO,False,False,True,True,False,False,False,False,False,sin_incidencias,valida,0,0,,
5,CAM-01,5,TELEMATICA-AndinaLog,2026-08-30T00:00:00,EVT-ALOG-00005,2026-08-01T14:50:00,ALERTA_TEMP_CADENA_FRIO,Baja,72.68,,6.5,57.9,2026-07-29,CAM-01,EVT-ALOG-00005,2026-08-01T14:50:00,ALERTA_TEMP_CADENA_FRIO,Baja,72.68,,,,,False,False,False,False,False,,True,2026-08-01 18:50:00+00:00,2026-08-01T18:50:00+0000,ISO,False,False,True,True,False,False,False,False,False,sin_incidencias,valida,0,0,,
6,CAM-01,6,TELEMATICA-AndinaLog,2026-08-30T00:00:00,EVT-ALOG-00006,2026-08-21T18:20:00,MANTENIMIENTO_PROGRAMADO,Baja,56.03,True,6.5,57.9,2026-07-29,CAM-01,EVT-ALOG-00006,2026-08-21T18:20:00,MANTENIMIENTO_PROGRAMADO,Baja,56.03,True,,,,False,False,False,False,False,True,False,2026-08-21 22:20:00+00:00,2026-08-21T22:20:00+0000,ISO,False,False,True,True,False,False,False,False,False,sin_incidencias,valida,0,0,,
7,CAM-02,1,TELEMATICA-AndinaLog,2026-08-30T00:00:00,EVT-ALOG-00007,2026-08-26T13:43:00,EXCESO_VELOCIDAD,Baja,59.98,True,7.8,42.6,2026-07-16,CAM-02,EVT-ALOG-00007,2026-08-26T13:43:00,EXCESO_VELOCIDAD,Baja,59.98,True,,,,False,False,False,False,False,True,False,2026-08-26 17:43:00+00:00,2026-08-26T17:43:00+0000,ISO,False,False,True,True,True,False,False,False,False,sin_incidencias,valida,0,0,,
8,CAM-02,2,TELEMATICA-AndinaLog,2026-08-30T00:00:00,EVT-ALOG-00008,2026-08-25T01:45:00,MANTENIMIENTO_PROGRAMADO,Baja,38.48,True,7.8,42.6,2026-07-16,CAM-02,EVT-ALOG-00008,2026-08-25T01:45:00,MANTENIMIENTO_PROGRAMADO,Baja,38.48,True,,,,False,False,False,False,False,True,False,2026-08-25 05:45:00+00:00,2026-08-25T05:45:00+0000,ISO,False,False,True,True,True,False,False,False,False,sin_incidencias,valida,0,0,,
9,CAM-02,3,TELEMATICA-AndinaLog,2026-08-30T00:00:00,EVT-ALOG-00009,2026-08-08T11:51:00,FALLA_MOTOR,Media,66.88,True,7.8,42.6,2026-07-16,CAM-02,EVT-ALOG-00009,2026-08-08T11:51:00,FALLA_MOTOR,Media,66.88,True,,,,False,False,False,False,False,True,False,2026-08-08 15:51:00+00:00,2026-08-08T15:51:00+0000,ISO,False,False,True,True,True,False,False,False,False,sin_incidencias,valida,0,0,,
10,CAM-02,4,TELEMATICA-AndinaLog,2026-08-30T00:00:00,EVT-ALOG-00010,2026-08-09T10:56:00,EXCESO_VELOCIDAD,Media,26.96,True,7.8,42.6,2026-07-16,CAM-02,EVT-ALOG-00010,2026-08-09T10:56:00,EXCESO_VELOCIDAD,Media,26.96,True,,,,False,False,False,False,False,True,False,2026-08-09 14:56:00+00:00,2026-08-09T14:56:00+0000,ISO,False,False,True,True,True,False,False,False,False,sin_incidencias,valida,0,0,,
