_fila_bronze,movimiento_id,lote_id,producto_id,centro_distribucion,fecha_ingreso,fecha_salida,fecha_vencimiento,cantidad_ingreso,cantidad_salida,cantidad_merma,dias_en_almacen,costo_unitario_bob,movimiento_id_original,lote_id_original,producto_id_original,centro_distribucion_original,fecha_ingreso_original,fecha_salida_original,fecha_vencimiento_original,cantidad_ingreso_original,cantidad_salida_original,cantidad_merma_original,dias_en_almacen_original,costo_unitario_bob_original,errores_bloqueantes,motivos_transformacion,motivos_imputacion,fue_transformada,fue_imputada,cantidad_ingreso_conversion_invalida,cantidad_ingreso_centinela_detectado,cantidad_salida_conversion_invalida,cantidad_salida_centinela_detectado,cantidad_merma_conversion_invalida,cantidad_merma_centinela_detectado,dias_en_almacen_conversion_invalida,dias_en_almacen_centinela_detectado,costo_unitario_bob_conversion_invalida,costo_unitario_bob_centinela_detectado,fecha_ingreso_timestamp_detectado,fecha_ingreso_timestamp_utc,fecha_salida_timestamp_detectado,fecha_salida_timestamp_utc,fecha_vencimiento_timestamp_detectado,fecha_vencimiento_timestamp_utc,fecha_ingreso_conversion_determinista,fecha_ingreso_conversion_invalida,fecha_salida_conversion_determinista,fecha_salida_conversion_invalida,fecha_vencimiento_conversion_determinista,fecha_vencimiento_conversion_invalida,fecha_salida_vacia,centro_distribucion_valido,salida_incoherente,cantidad_restante_calculada,dias_vencimiento_calculado,vence_dentro_30_dias,duplicado_clave,duplicado_exacto,conflicto_clave,conservar_copia_duplicada,producto_id_corresponde_productos_silver,fecha_vencimiento_fuente,wms_lote_id_disponible,calidad_motivo,calidad_estado,conteo_transformaciones,conteo_imputaciones,imputacion_metodo,imputacion_motivo
1,MOV-000001,LOT-2026-00001,PROD-006,Santa Cruz,2026-07-09,2026-07-23,2027-07-09,747.0,743.0,4.0,14.0,29.49,MOV-000001,LOT-2026-00001,PROD-006,Santa Cruz,2026-07-09,2026-07-23,2027-07-09,747,743,4,14,29.49,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,False,False,False,False,False,False,True,False,0.0,-312.0,False,False,False,False,False,True,bronze_observada,False,sin_incidencias,valida,0,0,,
2,MOV-000002,LOT-2026-00002,PROD-031,Tarija,2026-05-21,2026-06-14,2027-05-21,625.0,615.0,8.0,24.0,50.89,MOV-000002,LOT-2026-00002,PROD-031,Tarija,2026-05-21,2026-06-14,2027-05-21,625,615,8,24,50.89,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,False,False,False,False,False,False,True,False,2.0,-263.0,False,False,False,False,False,True,bronze_observada,False,sin_incidencias,valida,0,0,,
3,MOV-000003,LOT-2026-00003,PROD-021,La Paz,2026-08-18,2026-08-22,2026-09-05,261.0,252.0,7.0,4.0,83.07,MOV-000003,LOT-2026-00003,PROD-021,La Paz,2026-08-18,2026-08-22,2026-09-05,261,252,7,4,83.07,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,False,False,False,False,False,False,True,False,2.0,-5.0,False,False,False,False,False,True,bronze_observada,False,sin_incidencias,valida,0,0,,
4,MOV-000004,LOT-2026-00004,PROD-009,Cochabamba,2026-07-15,2026-07-30,2026-08-02,97.0,94.0,3.0,15.0,75.19,MOV-000004,LOT-2026-00004,PROD-009,Cochabamba,2026-07-15,2026-07-30,2026-08-02,97,94,3,15,75.19,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,False,False,False,False,False,False,True,False,0.0,29.0,True,False,False,False,False,True,bronze_observada,False,sin_incidencias,valida,0,0,,
5,MOV-000005,LOT-2026-00005,PROD-027,La Paz,2026-06-25,2026-06-28,2026-07-13,83.0,81.0,2.0,3.0,64.06,MOV-000005,LOT-2026-00005,PROD-027,La Paz,2026-06-25,2026-06-28,2026-07-13,83,81,2,3,64.06,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,False,False,False,False,False,False,True,False,0.0,49.0,False,False,False,False,False,True,bronze_observada,False,sin_incidencias,valida,0,0,,
6,MOV-000006,LOT-2026-00006,PROD-043,Tarija,2026-08-21,2026-08-26,2027-02-17,627.0,616.0,8.0,5.0,16.46,MOV-000006,LOT-2026-00006,PROD-043,Tarija,2026-08-21,2026-08-26,2027-02-17,627,616,8,5,16.46,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,False,False,False,False,False,False,True,False,3.0,-170.0,False,False,False,False,False,True,bronze_observada,False,sin_incidencias,valida,0,0,,
7,MOV-000007,LOT-2026-00007,PROD-005,Oruro,2026-05-18,2026-06-02,2027-05-18,175.0,171.0,3.0,15.0,35.68,MOV-000007,LOT-2026-00007,PROD-005,Oruro,2026-05-18,2026-06-02,2027-05-18,175,171,3,15,35.68,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,False,False,False,False,False,False,True,False,1.0,-260.0,False,False,False,False,False,True,bronze_observada,False,sin_incidencias,valida,0,0,,
8,MOV-000008,LOT-2026-00008,PROD-060,Oruro,2026-07-24,2026-07-29,2027-01-20,88.0,86.0,1.0,5.0,30.63,MOV-000008,LOT-2026-00008,PROD-060,Oruro,2026-07-24,2026-07-29,2027-01-20,88,86,1,5,30.63,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,False,False,False,False,False,False,True,False,1.0,-142.0,False,False,False,False,False,True,bronze_observada,False,sin_incidencias,valida,0,0,,
9,MOV-000009,LOT-2026-00009,PROD-030,Cochabamba,2026-07-05,2026-07-17,2027-07-05,531.0,524.0,4.0,12.0,34.93,MOV-000009,LOT-2026-00009,PROD-030,Cochabamba,2026-07-05,2026-07-17,2027-07-05,531,524,4,12,34.93,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,False,False,False,False,False,False,True,False,3.0,-308.0,False,False,False,False,False,True,bronze_observada,False,sin_incidencias,valida,0,0,,
10,MOV-000010,LOT-2026-00010,PROD-059,La Paz,2026-05-22,2026-05-31,2027-05-22,193.0,190.0,2.0,9.0,49.31,MOV-000010,LOT-2026-00010,PROD-059,La Paz,2026-05-22,2026-05-31,2027-05-22,193,190,2,9,49.31,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,False,False,False,False,False,False,True,False,1.0,-264.0,False,False,False,False,False,True,bronze_observada,False,sin_incidencias,valida,0,0,,
