timestamp,viaje_id,order_id,camion_id,producto_id,temperatura_cabina_c,temp_unit,humedad_cabina_pct,desviacion_termica_flag,desviacion_proximos_60min_flag,_fila_bronze,timestamp_original,temp_unit_original,temperatura_cabina_c_original,motivos_transformacion,conteo_transformaciones,banderas_informativas,calidad_estado
2026-08-11 18:11:00+00:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,2.19,C,72.6,0,0,2,2026-08-11 14:11:00,C,2.19,fecha_local_bolivia_convertida_utc,1,,valida
2026-08-11 18:41:00+00:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,4.91,C,75.0,0,0,3,2026-08-11 14:41:00,C,4.91,fecha_local_bolivia_convertida_utc,1,,valida
2026-08-11 19:11:00+00:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,2.76,C,94.7,0,0,4,2026-08-11 15:11:00,C,2.76,fecha_local_bolivia_convertida_utc,1,,valida
2026-08-11 19:41:00+00:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,3.96,C,74.0,0,0,5,2026-08-11 15:41:00,C,3.96,fecha_local_bolivia_convertida_utc,1,,valida
2026-08-11 20:11:00+00:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,4.49,C,70.3,0,0,6,2026-08-11 16:11:00,C,4.49,fecha_local_bolivia_convertida_utc,1,,valida
2026-08-11 20:41:00+00:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,2.29,C,86.1,0,0,7,2026-08-11 16:41:00,C,2.29,fecha_local_bolivia_convertida_utc,1,,valida
2026-08-11 21:11:00+00:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,3.76,C,85.6,0,0,8,2026-08-11 17:11:00,C,3.76,fecha_local_bolivia_convertida_utc,1,,valida
2026-08-11 21:41:00+00:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,3.48,C,,0,0,9,2026-08-11 17:41:00,C,3.48,fecha_local_bolivia_convertida_utc,1,IOT-NUL-002,valida
2026-08-11 22:11:00+00:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,2.85,C,76.1,0,0,10,2026-08-11 18:11:00,C,2.85,fecha_local_bolivia_convertida_utc,1,,valida
2026-08-11 22:41:00+00:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,3.57,C,76.9,0,0,11,2026-08-11 18:41:00,C,3.57,fecha_local_bolivia_convertida_utc,1,,valida
2026-08-11 23:11:00+00:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,4.17,C,87.7,0,0,12,2026-08-11 19:11:00,C,4.17,fecha_local_bolivia_convertida_utc,1,,valida
2026-08-11 23:41:00+00:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,4.09,C,70.2,0,0,13,2026-08-11 19:41:00,C,4.09,fecha_local_bolivia_convertida_utc,1,,valida
2026-08-12 00:11:00+00:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,3.63,C,78.9,0,0,14,2026-08-11 20:11:00,C,3.63,fecha_local_bolivia_convertida_utc,1,,valida
2026-08-12 00:41:00+00:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,2.13,C,73.2,0,0,15,2026-08-11 20:41:00,C,2.13,fecha_local_bolivia_convertida_utc,1,,valida
2026-08-12 01:11:00+00:00,VIA-00001,ORD-2026-05710,CAM-20,PROD-045,4.11,C,81.7,0,1,16,2026-08-11 21:11:00,C,4.11,fecha_local_bolivia_convertida_utc,1,,valida
