producto_id,nombre_producto,categoria_logistica,temperatura_conservacion_requerida_c,tolerancia_temperatura_c,precio_unitario_bob,costo_unitario_bob,_fila_bronze,errores_bloqueantes,motivos_transformacion,motivos_imputacion,producto_id_original,nombre_producto_original,categoria_logistica_original,temperatura_conservacion_requerida_c_original,tolerancia_temperatura_c_original,precio_unitario_bob_original,costo_unitario_bob_original,producto_id_tratado,nombre_producto_tratado,categoria_logistica_tratado,producto_id_transformado,nombre_producto_transformado,categoria_logistica_transformado,temperatura_conservacion_requerida_c_tratado,temperatura_conservacion_requerida_c_conversion_invalida,temperatura_conservacion_requerida_c_centinela_detectado,tolerancia_temperatura_c_tratado,tolerancia_temperatura_c_conversion_invalida,tolerancia_temperatura_c_centinela_detectado,precio_unitario_bob_tratado,precio_unitario_bob_conversion_invalida,precio_unitario_bob_centinela_detectado,costo_unitario_bob_tratado,costo_unitario_bob_conversion_invalida,costo_unitario_bob_centinela_detectado,temperatura_conservacion_requerida_c_imputada,temperatura_conservacion_requerida_c_imputacion_metodo,imputacion_metodo,imputacion_motivo,fue_transformada,fue_imputada,conteo_transformaciones,conteo_imputaciones,calidad_motivo,calidad_estado
PROD-001,Producto Logistico 001,Fresco,4.0,2.0,23.7,20.26,2,,,,PROD-001,Producto Logistico 001,Fresco,4.0,2.0,23.7,20.26,PROD-001,Producto Logistico 001,Fresco,False,False,False,4.0,False,False,2.0,False,False,23.7,False,False,20.26,False,False,False,,,,False,False,0,0,sin_incidencias,valida
PROD-002,Producto Logistico 002,Seco,20.0,5.0,101.83,82.37,3,,,,PROD-002,Producto Logistico 002,Seco,20.0,5.0,101.83,82.37,PROD-002,Producto Logistico 002,Seco,False,False,False,20.0,False,False,5.0,False,False,101.83,False,False,82.37,False,False,False,,,,False,False,0,0,sin_incidencias,valida
PROD-003,Producto Logistico 003,Seco,20.0,5.0,83.08,68.01,4,,,,PROD-003,Producto Logistico 003,Seco,20.0,5.0,83.08,68.01,PROD-003,Producto Logistico 003,Seco,False,False,False,20.0,False,False,5.0,False,False,83.08,False,False,68.01,False,False,False,,,,False,False,0,0,sin_incidencias,valida
PROD-004,Producto Logistico 004,Fresco,4.0,2.0,19.15,16.27,5,,,,PROD-004,Producto Logistico 004,Fresco,4.0,2.0,19.15,16.27,PROD-004,Producto Logistico 004,Fresco,False,False,False,4.0,False,False,2.0,False,False,19.15,False,False,16.27,False,False,False,,,,False,False,0,0,sin_incidencias,valida
PROD-005,Producto Logistico 005,Seco,20.0,5.0,42.02,35.68,6,,,,PROD-005,Producto Logistico 005,Seco,20.0,5.0,42.02,35.68,PROD-005,Producto Logistico 005,Seco,False,False,False,20.0,False,False,5.0,False,False,42.02,False,False,35.68,False,False,False,,,,False,False,0,0,sin_incidencias,valida
PROD-006,Producto Logistico 006,Seco,20.0,5.0,34.76,29.49,7,,,,PROD-006,Producto Logistico 006,Seco,20.0,5.0,34.76,29.49,PROD-006,Producto Logistico 006,Seco,False,False,False,20.0,False,False,5.0,False,False,34.76,False,False,29.49,False,False,False,,,,False,False,0,0,sin_incidencias,valida
PROD-007,Producto Logistico 007,Seco,20.0,5.0,24.69,20.78,8,,,,PROD-007,Producto Logistico 007,Seco,20.0,5.0,24.69,20.78,PROD-007,Producto Logistico 007,Seco,False,False,False,20.0,False,False,5.0,False,False,24.69,False,False,20.78,False,False,False,,,,False,False,0,0,sin_incidencias,valida
PROD-008,Producto Logistico 008,Congelado,-18.0,2.0,92.06,79.52,9,,identificador_normalizado,, prod-008 ,Producto Logistico 008,Congelado,-18.0,2.0,92.06,79.52,PROD-008,Producto Logistico 008,Congelado,True,False,False,-18.0,False,False,2.0,False,False,92.06,False,False,79.52,False,False,False,,,,True,False,1,0,sin_incidencias,valida_con_transformacion
PROD-009,Producto Logistico 009,Fresco,4.0,2.0,91.03,75.19,10,,,,PROD-009,Producto Logistico 009,Fresco,4.0,2.0,91.03,75.19,PROD-009,Producto Logistico 009,Fresco,False,False,False,4.0,False,False,2.0,False,False,91.03,False,False,75.19,False,False,False,,,,False,False,0,0,sin_incidencias,valida
PROD-011,Producto Logistico 011,Congelado,-18.0,2.0,39.78,32.86,12,,,,PROD-011,Producto Logistico 011,Congelado,-18.0,2.0,39.78,32.86,PROD-011,Producto Logistico 011,Congelado,False,False,False,-18.0,False,False,2.0,False,False,39.78,False,False,32.86,False,False,False,,,,False,False,0,0,sin_incidencias,valida
PROD-012,Producto Logistico 012,Seco,20.0,5.0,70.51,59.96,13,,,,PROD-012,Producto Logistico 012,Seco,20.0,5.0,70.51,59.96,PROD-012,Producto Logistico 012,Seco,False,False,False,20.0,False,False,5.0,False,False,70.51,False,False,59.96,False,False,False,,,,False,False,0,0,sin_incidencias,valida
PROD-013,Producto Logistico 013,Fresco,4.0,2.0,53.93,46.59,14,,,,PROD-013,Producto Logistico 013,Fresco,4.0,2.0,53.93,46.59,PROD-013,Producto Logistico 013,Fresco,False,False,False,4.0,False,False,2.0,False,False,53.93,False,False,46.59,False,False,False,,,,False,False,0,0,sin_incidencias,valida
PROD-015,Producto Logistico 015,Fresco,4.0,2.0,80.47,68.74,16,,,,PROD-015,Producto Logistico 015,Fresco,4.0,2.0,80.47,68.74,PROD-015,Producto Logistico 015,Fresco,False,False,False,4.0,False,False,2.0,False,False,80.47,False,False,68.74,False,False,False,,,,False,False,0,0,sin_incidencias,valida
PROD-016,Producto Logistico 016,Seco,20.0,5.0,31.14,25.77,17,,identificador_normalizado,, prod-016 ,Producto Logistico 016,Seco,20.0,5.0,31.14,25.77,PROD-016,Producto Logistico 016,Seco,True,False,False,20.0,False,False,5.0,False,False,31.14,False,False,25.77,False,False,False,,,,True,False,1,0,sin_incidencias,valida_con_transformacion
PROD-017,Producto Logistico 017,Seco,20.0,5.0,41.23,34.67,18,,,,PROD-017,Producto Logistico 017,Seco,20.0,5.0,41.23,34.67,PROD-017,Producto Logistico 017,Seco,False,False,False,20.0,False,False,5.0,False,False,41.23,False,False,34.67,False,False,False,,,,False,False,0,0,sin_incidencias,valida
PROD-018,Producto Logistico 018,Seco,20.0,5.0,39.73,33.66,19,,,categoria canonica con correspondencia unica declarada,PROD-018,Producto Logistico 018,Seco,,5.0,39.73,33.66,PROD-018,Producto Logistico 018,Seco,False,False,False,20.0,False,False,5.0,False,False,39.73,False,False,33.66,False,False,True,catalogo_deterministico_categoria,catalogo_deterministico_categoria,categoria canonica con correspondencia unica declarada,False,True,0,1,sin_incidencias,valida_con_imputacion
PROD-019,Producto Logistico 019,Seco,20.0,5.0,77.58,62.3,20,,,,PROD-019,Producto Logistico 019,Seco,20.0,5.0,77.58,62.3,PROD-019,Producto Logistico 019,Seco,False,False,False,20.0,False,False,5.0,False,False,77.58,False,False,62.3,False,False,False,,,,False,False,0,0,sin_incidencias,valida
PROD-020,Producto Logistico 020,Seco,20.0,5.0,70.64,59.96,21,,,,PROD-020,Producto Logistico 020,Seco,20.0,5.0,70.64,59.96,PROD-020,Producto Logistico 020,Seco,False,False,False,20.0,False,False,5.0,False,False,70.64,False,False,59.96,False,False,False,,,,False,False,0,0,sin_incidencias,valida
