order_id,cliente_id,producto_id,fecha_despacho,centro_distribucion,camion_id,chofer_id,cantidad_solicitada,cantidad_entregada,tiempo_entrega_prometido_hrs,tiempo_entrega_real_hrs,otif_on_time,otif_in_full,otif,_fila_bronze,errores_bloqueantes,motivos_transformacion,motivos_imputacion,order_id_original,cliente_id_original,producto_id_original,fecha_despacho_original,centro_distribucion_original,camion_id_original,chofer_id_original,cantidad_solicitada_original,cantidad_entregada_original,tiempo_entrega_prometido_hrs_original,tiempo_entrega_real_hrs_original,otif_on_time_original,otif_in_full_original,otif_original,order_id_tratado,order_id_transformado,cliente_id_tratado,cliente_id_transformado,producto_id_tratado,producto_id_transformado,camion_id_tratado,camion_id_transformado,chofer_id_tratado,chofer_id_transformado,centro_distribucion_tratado,centro_distribucion_transformado,cantidad_solicitada_texto_tratado,cantidad_solicitada_palabra_normalizada,cantidad_solicitada_tratado,cantidad_solicitada_conversion_invalida,cantidad_solicitada_centinela_detectado,cantidad_entregada_tratado,cantidad_entregada_conversion_invalida,cantidad_entregada_centinela_detectado,tiempo_entrega_prometido_hrs_tratado,tiempo_entrega_prometido_hrs_conversion_invalida,tiempo_entrega_prometido_hrs_centinela_detectado,tiempo_entrega_real_hrs_tratado,tiempo_entrega_real_hrs_conversion_invalida,tiempo_entrega_real_hrs_centinela_detectado,otif_on_time_tratado,otif_on_time_conversion_invalida,otif_on_time_centinela_detectado,otif_in_full_tratado,otif_in_full_conversion_invalida,otif_in_full_centinela_detectado,otif_tratado,otif_conversion_invalida,otif_centinela_detectado,fecha_despacho_formato,fecha_despacho_formato_reconocido,fecha_despacho_tratado,fecha_despacho_conversion_invalida,fecha_despacho_transformado,producto_id_corresponde_silver,camion_id_corresponde_silver,fue_imputada,imputacion_metodo,imputacion_motivo,fue_transformada,conteo_transformaciones,conteo_imputaciones,calidad_motivo,calidad_estado
ORD-2026-00001,CLI-002,PROD-003,2026-08-26 07:39:00+00:00,Tarija,CAM-19,CHO-059,91.0,91.0,24.0,8.8,1.0,1.0,1.0,2,,fecha_local_bolivia_convertida_utc,,ORD-2026-00001,CLI-002,PROD-003,2026-08-26 03:39:00,Tarija,CAM-19,CHO-059,91,91.0,24,8.8,1,1,1,ORD-2026-00001,False,CLI-002,False,PROD-003,False,CAM-19,False,CHO-059,False,Tarija,False,91,False,91.0,False,False,91.0,False,False,24.0,False,False,8.8,False,False,1.0,False,False,1.0,False,False,1.0,False,False,iso,True,2026-08-26 07:39:00+00:00,False,True,True,True,False,,,True,1,0,sin_incidencias,valida_con_transformacion
ORD-2026-00003,CLI-036,PROD-042,2026-08-15 17:31:00+00:00,La Paz,CAM-10,CHO-104,402.0,402.0,24.0,17.7,1.0,1.0,1.0,4,,fecha_local_bolivia_convertida_utc,,ORD-2026-00003,CLI-036,PROD-042,2026-08-15 13:31:00,La Paz,CAM-10,CHO-104,402,402.0,24,17.7,1,1,1,ORD-2026-00003,False,CLI-036,False,PROD-042,False,CAM-10,False,CHO-104,False,La Paz,False,402,False,402.0,False,False,402.0,False,False,24.0,False,False,17.7,False,False,1.0,False,False,1.0,False,False,1.0,False,False,iso,True,2026-08-15 17:31:00+00:00,False,True,True,True,False,,,True,1,0,sin_incidencias,valida_con_transformacion
ORD-2026-00005,CLI-060,PROD-008,2026-08-24 20:24:00+00:00,Cochabamba,CAM-25,CHO-091,74.0,74.0,48.0,40.1,1.0,1.0,1.0,6,,fecha_local_bolivia_convertida_utc,,ORD-2026-00005,CLI-060,PROD-008,2026-08-24 16:24:00,Cochabamba,CAM-25,CHO-091,74,74.0,48,40.1,1,1,1,ORD-2026-00005,False,CLI-060,False,PROD-008,False,CAM-25,False,CHO-091,False,Cochabamba,False,74,False,74.0,False,False,74.0,False,False,48.0,False,False,40.1,False,False,1.0,False,False,1.0,False,False,1.0,False,False,iso,True,2026-08-24 20:24:00+00:00,False,True,True,True,False,,,True,1,0,sin_incidencias,valida_con_transformacion
ORD-2026-00006,CLI-053,PROD-039,2026-08-24 05:42:00+00:00,Santa Cruz,CAM-23,CHO-052,96.0,96.0,48.0,44.0,1.0,1.0,1.0,7,,fecha_local_bolivia_convertida_utc,,ORD-2026-00006,CLI-053,PROD-039,2026-08-24 01:42:00,Santa Cruz,CAM-23,CHO-052,96,96.0,48,44.0,1,1,1,ORD-2026-00006,False,CLI-053,False,PROD-039,False,CAM-23,False,CHO-052,False,Santa Cruz,False,96,False,96.0,False,False,96.0,False,False,48.0,False,False,44.0,False,False,1.0,False,False,1.0,False,False,1.0,False,False,iso,True,2026-08-24 05:42:00+00:00,False,True,True,True,False,,,True,1,0,sin_incidencias,valida_con_transformacion
ORD-2026-00007,CLI-040,PROD-054,2026-08-06 23:13:00+00:00,Tarija,CAM-26,CHO-119,325.0,325.0,24.0,23.2,1.0,1.0,1.0,8,,fecha_local_bolivia_convertida_utc,,ORD-2026-00007,CLI-040,PROD-054,2026-08-06 19:13:00,Tarija,CAM-26,CHO-119,325,325.0,24,23.2,1,1,1,ORD-2026-00007,False,CLI-040,False,PROD-054,False,CAM-26,False,CHO-119,False,Tarija,False,325,False,325.0,False,False,325.0,False,False,24.0,False,False,23.2,False,False,1.0,False,False,1.0,False,False,1.0,False,False,iso,True,2026-08-06 23:13:00+00:00,False,True,True,True,False,,,True,1,0,sin_incidencias,valida_con_transformacion
ORD-2026-00008,CLI-006,PROD-011,2026-08-05 12:13:00+00:00,Santa Cruz,CAM-23,CHO-145,456.0,456.0,72.0,52.5,1.0,1.0,1.0,9,,fecha_local_bolivia_convertida_utc,,ORD-2026-00008,CLI-006,PROD-011,2026-08-05 08:13:00,Santa Cruz,CAM-23,CHO-145,456,456.0,72,52.5,1,1,1,ORD-2026-00008,False,CLI-006,False,PROD-011,False,CAM-23,False,CHO-145,False,Santa Cruz,False,456,False,456.0,False,False,456.0,False,False,72.0,False,False,52.5,False,False,1.0,False,False,1.0,False,False,1.0,False,False,iso,True,2026-08-05 12:13:00+00:00,False,True,True,True,False,,,True,1,0,sin_incidencias,valida_con_transformacion
ORD-2026-00009,CLI-048,PROD-007,2026-08-29 06:35:00+00:00,La Paz,CAM-28,CHO-117,87.0,87.0,24.0,20.0,1.0,1.0,1.0,10,,fecha_local_bolivia_convertida_utc,,ORD-2026-00009,CLI-048,PROD-007,2026-08-29 02:35:00,La Paz,CAM-28,CHO-117,87,87.0,24,20.0,1,1,1,ORD-2026-00009,False,CLI-048,False,PROD-007,False,CAM-28,False,CHO-117,False,La Paz,False,87,False,87.0,False,False,87.0,False,False,24.0,False,False,20.0,False,False,1.0,False,False,1.0,False,False,1.0,False,False,iso,True,2026-08-29 06:35:00+00:00,False,True,True,True,False,,,True,1,0,sin_incidencias,valida_con_transformacion
ORD-2026-00010,CLI-097,PROD-038,2026-08-30 04:36:00+00:00,Tarija,CAM-26,CHO-010,125.0,125.0,72.0,71.2,1.0,1.0,1.0,11,,fecha_local_bolivia_convertida_utc,,ORD-2026-00010,CLI-097,PROD-038,2026-08-30 00:36:00,Tarija,CAM-26,CHO-010,125,125.0,72,71.2,1,1,1,ORD-2026-00010,False,CLI-097,False,PROD-038,False,CAM-26,False,CHO-010,False,Tarija,False,125,False,125.0,False,False,125.0,False,False,72.0,False,False,71.2,False,False,1.0,False,False,1.0,False,False,1.0,False,False,iso,True,2026-08-30 04:36:00+00:00,False,True,True,True,False,,,True,1,0,sin_incidencias,valida_con_transformacion
ORD-2026-00012,CLI-094,PROD-012,2026-08-25 12:43:00+00:00,La Paz,CAM-12,CHO-050,98.0,95.0,24.0,21.0,1.0,0.0,0.0,13,,normalizacion_identificador:cliente_id | fecha_local_bolivia_convertida_utc,,ORD-2026-00012, cli-094 ,PROD-012,2026-08-25 08:43:00,La Paz,CAM-12,CHO-050,98,95.0,24,21.0,1,0,0,ORD-2026-00012,False,CLI-094,True,PROD-012,False,CAM-12,False,CHO-050,False,La Paz,False,98,False,98.0,False,False,95.0,False,False,24.0,False,False,21.0,False,False,1.0,False,False,0.0,False,False,0.0,False,False,iso,True,2026-08-25 12:43:00+00:00,False,True,True,True,False,,,True,2,0,sin_incidencias,valida_con_transformacion
ORD-2026-00013,CLI-085,PROD-017,2026-08-19 16:42:00+00:00,Santa Cruz,CAM-23,CHO-113,340.0,330.0,72.0,44.8,1.0,0.0,0.0,14,,fecha_local_bolivia_convertida_utc,,ORD-2026-00013,CLI-085,PROD-017,2026-08-19 12:42:00,Santa Cruz,CAM-23,CHO-113,340,330.0,72,44.8,1,0,0,ORD-2026-00013,False,CLI-085,False,PROD-017,False,CAM-23,False,CHO-113,False,Santa Cruz,False,340,False,340.0,False,False,330.0,False,False,72.0,False,False,44.8,False,False,1.0,False,False,0.0,False,False,0.0,False,False,iso,True,2026-08-19 16:42:00+00:00,False,True,True,True,False,,,True,1,0,sin_incidencias,valida_con_transformacion
